hawkins-george,3,Labour
connell-brian,2,National
smith-murray,1,United Future
scott-alastair,1,National
ardern-shane,4,National
mackey-janet,1,Labour
mathers-mojo,2,Green
king-annette,5,Labour
cunliffe-david,5,Labour
parker-david,5,Labour
woods-megan,2,Labour
bennett-paula,5,National
ross-jami,3,National
blumsky-mark,1,National
stewart-barbara,4,First
banks-john,1,National
peck-mark,1,Labour
bakshi-kanwaljit,3,National
hayes-joanne,2,National
turner-judy,2,United Future
browning-steffan,2,Green
goldsmith-paul,2,National
foss-craig,4,National
collins-judith,5,National
king-colin,3,National
reti-shane,1,National
jones-shane,3,Labour
franks-stephen,1,National
fitzsimons-jeanette,3,Green
