surname,name,term,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,weights,wordcount
bradford,sue,47,0.0273359023,0.0448808937,0.0270615178,0.0285165753,0.0295395913,0.035202349,0.0472081824,0.0272517311,0.0207033565,0.1517532024,0.0197663651,0.0139903347,0.0133033277,0.0073368748,0.0361525689,0.0842026158,0.0323874024,0.0302980418,0.0199812667,0.020469684,0.0095305354,0.0371445297,0.0236075416,0.0313503527,0.0113783699,0.0438332662,0.0163901439,0.0146473097,0.0180013548,0.0767747805,0.0023300537,105688
brash,don,47,0.0272593747,0.015947838,0.0307887751,0.0276137738,0.0975675609,0.0277431712,0.0216671907,0.0663517656,0.0541525509,0.0372529111,0.0190638318,0.0156536371,0.0267629145,0.0187953777,0.0230249205,0.0333284652,0.0122241178,0.0135329597,0.0127977252,0.0162055455,0.0086317554,0.0871129419,0.0198445439,0.0176825076,0.0556951132,0.0171694246,0.0220139477,0.0266031911,0.127360342,0.020151907,0.0015656563,71016
brown,peter,47,0.0418816072,0.0554626483,0.0222712457,0.0331410268,0.0262628047,0.0208832506,0.0198313646,0.0454192219,0.0142688855,0.0299410766,0.0113041721,0.0233838237,0.013439343,0.0065039119,0.035194891,0.0374303524,0.028117051,0.0490579669,0.0128872769,0.0159069406,0.0112487157,0.0229301737,0.0708565952,0.0412261418,0.0574135679,0.0243650955,0.1043758986,0.0226142703,0.0400778742,0.0623028409,0.003117291,141396
brownlee,gerry,47,0.020469604,0.0327641454,0.0422789218,0.0185332414,0.0352448285,0.0226528102,0.0173084059,0.070771226,0.0221912539,0.0161048319,0.0127599086,0.0189274702,0.0403772422,0.0477473517,0.0284472928,0.0360763908,0.0141480847,0.0307933903,0.0191701761,0.0218205023,0.0107582739,0.0262784463,0.072874709,0.0331923374,0.1173160006,0.0122225474,0.0273612068,0.0220050823,0.0870414869,0.0223627759,0.0029166015,132293
burton,mark,47,0.0848642829,0.0394974259,0.0262633128,0.0129351666,0.0265529004,0.0252286891,0.0494073379,0.0701710389,0.049361361,0.0368015384,0.014697549,0.016882777,0.0144380651,0.0612527785,0.0424638991,0.0421003981,0.0214403012,0.0117912272,0.0151300373,0.0141816959,0.016357556,0.0361060045,0.0410818672,0.029365872,0.0830012603,0.0220846315,0.0233137297,0.0121936039,0.040381703,0.02065198,0.0005085694,23068
carter,chris,47,0.0482955573,0.0293671767,0.0195167356,0.0127494975,0.0292018443,0.0235915551,0.0806324369,0.037190401,0.030352974,0.0157621044,0.0191662609,0.0223961607,0.0972863783,0.0107952317,0.0614808553,0.0297884045,0.0175554025,0.0483159377,0.084543326,0.0223556441,0.0125377084,0.0280779161,0.0248096424,0.0306455908,0.051347614,0.0180342835,0.0307074072,0.0140392743,0.0286859277,0.0207706148,0.0006159359,27938
carter,david,47,0.0185631249,0.1078659449,0.0166231258,0.020477031,0.044690785,0.0168181239,0.0149040691,0.0689833345,0.0220741251,0.0136253234,0.0125103928,0.0632799288,0.0436119511,0.0139364858,0.0284151245,0.0300091505,0.0108919153,0.0342595888,0.0196566487,0.0271978909,0.0168309291,0.028278771,0.0543689859,0.0458374552,0.0480080647,0.0127101692,0.0243333322,0.0203048012,0.1017939152,0.019139512,0.0021734792,98586
carter,john,47,0.0187812512,0.0618047523,0.0350405531,0.0263407353,0.025200451,0.0219544965,0.0154353881,0.0715981618,0.0233563621,0.0154299128,0.013933593,0.0321885864,0.0180757243,0.0214406225,0.0316602117,0.0389221252,0.0167791729,0.0265889451,0.0237575748,0.0165184761,0.0143518931,0.019742802,0.1251619146,0.0445058843,0.0923298734,0.021797407,0.0354715395,0.0160033526,0.0553958408,0.0204323373,0.0014990537,67995
catchpole,brent,47,0.0218209304,0.047218387,0.0250680593,0.0364123513,0.0180552039,0.0395470664,0.0546127854,0.0161449013,0.0161237927,0.0164710773,0.0196361348,0.0547474326,0.0192993425,0.0077666585,0.0146980957,0.0383175683,0.0195573793,0.0756925884,0.0226396335,0.0959967268,0.0139517575,0.0307545304,0.0404694184,0.0786021113,0.0256528941,0.0206355007,0.0434019271,0.0363638302,0.0266773228,0.0236647178,0.0012692627,57572
chadwick,steve,47,0.014100089,0.0392185193,0.0160976833,0.0128336719,0.0281172502,0.0222166662,0.0299211964,0.0495160624,0.0295592771,0.0412152699,0.0311344657,0.0237057452,0.0180001037,0.0159236601,0.0367653305,0.0248421847,0.0172059882,0.0768627225,0.0231966185,0.0187096741,0.0117060518,0.0361657264,0.0463255806,0.0207312036,0.058001736,0.1717789747,0.0132168995,0.0158899915,0.0299227728,0.0271189037,0.0012294688,55767
choudhary,ashraf,47,0.0415153268,0.0262087755,0.0144767014,0.0130039532,0.0627679708,0.0189957162,0.028355717,0.0111285504,0.0786576363,0.0178138695,0.1396025353,0.101003473,0.0495638625,0.0093993786,0.0420690043,0.0297157294,0.0180932182,0.020586974,0.0224226168,0.0144399107,0.0149068951,0.0362126859,0.0323854835,0.0197207974,0.0326519045,0.0300626405,0.0166340958,0.011233505,0.0328120494,0.0135592588,0.0001346602,6108
clark,helen,47,0.0880150779,0.0172568569,0.022846593,0.0084248428,0.0645900345,0.0249264211,0.037476186,0.0285581138,0.1401832457,0.0586319704,0.0631896742,0.0443502176,0.0225314883,0.0076354374,0.0475921706,0.0335756103,0.0067719338,0.0079877075,0.0217666842,0.0187175792,0.0089590018,0.0784932612,0.0168491551,0.0078027361,0.0187095156,0.0257225365,0.0185980518,0.0169631268,0.0290627172,0.013812326,0.0005990042,27170
coddington,deborah,47,0.0235585977,0.0374464151,0.0265923805,0.0283695201,0.030852435,0.0277034765,0.0204597369,0.0405323416,0.0137787914,0.034387826,0.0900155841,0.0196406341,0.0165832385,0.0156746537,0.0217309473,0.0271319202,0.0519027906,0.0355416558,0.0260038128,0.022064405,0.0089820266,0.0248564242,0.0608196147,0.0494165619,0.0280108872,0.0156067573,0.0913647066,0.0345541833,0.0326489585,0.0437686498,0.0028252408,128149
collins,judith,47,0.0366164082,0.0469073009,0.0610309835,0.0224825354,0.014943514,0.0320601768,0.0178667918,0.0434243645,0.0116552326,0.0773074849,0.0160338814,0.0147938565,0.0097220354,0.0106671342,0.0348964499,0.0384177309,0.0651287533,0.0312422735,0.021545955,0.0214236983,0.0117945738,0.0177710211,0.1123251757,0.0422537087,0.031749751,0.0469566156,0.0146615857,0.0142393861,0.0531327996,0.026948759,0.0024198491,109761
connell,brian,47,0.0185084813,0.049788322,0.0266829629,0.0293096221,0.0292719354,0.0256659281,0.0260859888,0.0442107015,0.0249982051,0.015353429,0.0143414036,0.0395608223,0.0405674764,0.0076292385,0.0275621947,0.0455261853,0.0477592258,0.0426210788,0.0233391727,0.0291650187,0.0113911034,0.0188823414,0.0945595803,0.0580437669,0.06068759,0.0138456212,0.025587289,0.0357444142,0.0355489978,0.0377618737,0.0022462548,101887
copeland,gordon,47,0.0548127165,0.0311096653,0.0380802315,0.0584247402,0.0939904432,0.0212385561,0.0287569221,0.0271527777,0.0273203403,0.0420227879,0.0140650655,0.026970226,0.0567005389,0.0099926661,0.0448051957,0.0594618116,0.0116359691,0.0253869355,0.017012889,0.0200801593,0.0107953845,0.044702378,0.0303427001,0.0342354921,0.0483273965,0.0130388947,0.0174353838,0.040161593,0.035035244,0.0169048937,0.0024536465,111294
cosgrove,clayton,47,0.033920498,0.0291882362,0.0192010133,0.0266789459,0.0690041567,0.0215396267,0.0161654912,0.1300677977,0.037188069,0.0189519876,0.0161065075,0.0306193119,0.0203486928,0.0078304884,0.0437636946,0.0237799799,0.0237982731,0.0162177678,0.015234282,0.0184795369,0.0119354927,0.0370826423,0.0938952914,0.0155981977,0.0895522956,0.0125979683,0.0210328155,0.0411554239,0.0456929845,0.0133725913,0.0016607871,75331
cullen,michael,47,0.0303160825,0.0247837006,0.0421395015,0.0552835947,0.1041203461,0.0182471422,0.0487794409,0.0719384764,0.0423461703,0.023320102,0.0317464068,0.0232810585,0.0200981832,0.0117059521,0.0265631928,0.0411718459,0.0096549848,0.0120599232,0.0141265911,0.016595446,0.0110703096,0.0767584593,0.0374045684,0.0246370486,0.0396585166,0.0181504302,0.020244003,0.0472150731,0.0381719435,0.0184115257,0.0023896454,108391
cunliffe,david,47,0.0242295336,0.03125876,0.0268435222,0.0514746957,0.1053160969,0.0182769949,0.0528794012,0.060491556,0.0422916554,0.0287027409,0.0161179109,0.0264589283,0.0179924925,0.0086898234,0.040084726,0.0318266657,0.027184539,0.0156920119,0.0130135956,0.0180527026,0.0110074354,0.0361789488,0.0482916284,0.0246669166,0.0772967938,0.0155173416,0.0214792674,0.0434930166,0.035809451,0.0293808943,0.0007526465,34139
dalziel,lianne,47,0.0698203737,0.0397577197,0.0849410052,0.0195652915,0.0309343938,0.0230837745,0.0750555323,0.080436073,0.0265699113,0.0283040781,0.0297967736,0.0117383572,0.0107944666,0.0088653823,0.0396223466,0.0236686018,0.0186443939,0.019818897,0.0133999794,0.0239580737,0.015643402,0.0281945783,0.043145153,0.0360703759,0.0522279288,0.0245618435,0.0147016563,0.0264703575,0.0534135298,0.0267958712,0.0010186819,46206
dean,jacqui,47,0.004215141,0.0493592664,0.0367665591,0.0148056706,0.0066072325,0.0212232485,0.0327094902,0.0119077807,0.0072921967,0.0072921967,0.0074186463,0.0244161874,0.0153220353,0.0042572909,0.0268080823,0.033478755,0.0210440817,0.1953613911,0.0655559624,0.0066493824,0.0223718612,0.0354914996,0.020190519,0.0268504287,0.0113071163,0.0211389488,0.0245953542,0.017239912,0.0666519774,0.1616715716,6.042953828E-05,2741
donald,rod,47,0.0438405547,0.0405756076,0.0199172178,0.0287475982,0.0910108364,0.0372606995,0.0303444303,0.0561635934,0.0393029466,0.0355505125,0.0303999104,0.0519293096,0.0539884475,0.006379419,0.0302310614,0.0489611839,0.0088990355,0.0234330723,0.0222321212,0.0237945574,0.0100600818,0.0530932769,0.022054886,0.0323499056,0.0312523215,0.0136155835,0.0214974919,0.0452916049,0.0279214936,0.0199011861,0.001628996,73889
donnelly,brian,47,0.0236937879,0.0439794774,0.035941721,0.030664116,0.0254841275,0.0340818066,0.0522492728,0.0449614634,0.0160909685,0.0305673303,0.1567558516,0.0346140773,0.0188184484,0.0203450343,0.0312005629,0.0617700544,0.0134310293,0.0224456034,0.0173227795,0.0143811628,0.0111276138,0.031364985,0.0575199433,0.0325845058,0.0242817494,0.0129995881,0.0167699326,0.012975322,0.0381674263,0.0334101464,0.001407252,63831
duncan,helen,47,0.0165126099,0.0290341903,0.0128432055,0.0202950179,0.0541818002,0.023338595,0.0343901862,0.0436927284,0.0497115128,0.0416436707,0.1510214546,0.0179643129,0.0117823091,0.0127376591,0.0511288856,0.0243458876,0.0093715727,0.0208705657,0.0295029357,0.0218345949,0.0113649617,0.0520708459,0.035576627,0.0129647599,0.0310121851,0.0250767422,0.0667897486,0.0164981165,0.0312767512,0.0411654716,0.0004678715,21222
dunne,peter,47,0.080879711,0.0508119577,0.0621961571,0.0254611514,0.0219348884,0.0314132284,0.031570536,0.0324869028,0.0247206393,0.0295381916,0.0166616642,0.0189745436,0.0143939767,0.0096392603,0.065349887,0.1050711801,0.0185487153,0.0408735674,0.0126207748,0.0145905039,0.0143288257,0.0278948341,0.0309691454,0.0475939756,0.06738227,0.0195183214,0.0121827033,0.0137625941,0.0430388379,0.0155910707,0.0018809218,85316
